Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,16,Wrapped Bitcoin WBTC,"$30,553.49",-0.1%,0.2%,-1.0%,"$91,374,294","$4,816,143,028","$4,816,143,028",1.00,
,17,Avalanche AVAX,$13.16,-0.5%,-3.5%,0.6%,"$145,419,889","$4,554,740,040","$9,483,045,620",0.48,
,18,Shiba Inu SHIB,$0.000007527198,-0.4%,-0.7%,-2.6%,"$65,093,696","$4,444,031,413","$7,540,631,620",0.59,
,19,Dai DAI,$0.999146,-0.0%,-0.2%,-0.1%,"$80,606,327","$4,291,861,599","$4,291,718,005",1.00,
,20,Uniswap UNI,$5.31,-0.8%,1.1%,-3.9%,"$73,325,881","$4,004,922,298","$5,313,212,263",0.75,
,21,Binance USD BUSD,$0.999126,-0.0%,-0.2%,0.0%,"$884,012,914","$3,997,348,204","$3,997,348,204",1.00,
,22,LEO Token LEO,$4.04,-0.1%,1.0%,2.4%,"$600,539","$3,756,493,902","$3,980,201,391",0.94,
,23,Chainlink LINK,$6.23,-0.2%,0.9%,-5.0%,"$87,243,370","$3,224,927,892","$6,236,565,586",0.52,
,24,Monero XMR,$163.91,-0.1%,-0.4%,-1.5%,"$58,856,016","$2,975,446,121",-,-,
,25,TrueUSD TUSD,$0.999790,-0.0%,0.0%,0.0%,"$1,802,592,884","$2,892,161,594","$2,892,161,594",1.00,
,26,Cosmos Hub ATOM,$9.21,-0.2%,-0.9%,-6.0%,"$53,304,335","$2,696,949,385",-,-,
,27,Ethereum Classic ETC,$18.86,-0.1%,-0.3%,-3.8%,"$81,043,842","$2,676,118,644","$3,973,173,494",0.67,
,28,Stellar XLM,$0.096857968567,-0.3%,-3.1%,-6.5%,"$43,726,371","$2,621,216,274","$4,844,702,679",0.54,
,29,OKB OKB,$43.32,-0.0%,1.1%,-2.1%,"$3,292,913","$2,603,142,632","$13,015,713,162",0.20,
,30,Toncoin TON,$1.34,-0.1%,-2.1%,-3.5%,"$5,582,018","$1,979,180,285","$6,792,542,780",0.29,
,31,Filecoin FIL,$4.29,-0.2%,-0.9%,-6.3%,"$63,282,849","$1,868,149,196","$8,426,384,654",0.22,
,32,Internet Computer ICP,$4.14,-0.7%,1.6%,-5.7%,"$13,756,583","$1,813,695,706","$1,943,920,396",0.93,
,33,Lido DAO LDO,$1.91,-0.4%,-2.4%,-11.6%,"$17,299,509","$1,683,837,498","$1,914,327,642",0.88,
,34,Hedera HBAR,$0.048568992033,-0.2%,1.6%,-0.6%,"$15,404,680","$1,571,172,570","$2,433,092,324",0.65,
,35,Cronos CRO,$0.057374744373,-0.5%,2.3%,-0.8%,"$4,117,513","$1,500,780,572","$1,721,372,042",0.87,
,36,Quant QNT,$102.52,0.1%,-0.2%,-4.9%,"$15,001,924","$1,494,502,460","$1,501,522,429",1.00,
,37,Aptos  APT,$7.05,0.0%,-0.5%,-8.2%,"$47,706,483","$1,485,042,722","$7,367,559,468",0.20,
,38,Arbitrum ARB,$1.13,-0.3%,0.0%,-2.3%,"$91,794,197","$1,437,312,025","$11,273,035,487",0.13,
,39,VeChain VET,$0.018996283825,0.1%,1.9%,-5.0%,"$33,254,555","$1,381,054,180","$1,646,917,995",0.84,
,40,NEAR Protocol NEAR,$1.33,-0.4%,-0.5%,-5.6%,"$31,656,386","$1,240,616,269","$1,332,146,189",0.93,
,41,Aave AAVE,$74.83,-0.2%,6.7%,-5.9%,"$106,613,733","$1,081,284,349","$1,195,422,884",0.90,
,42,The Graph GRT,$0.114370,-0.3%,-0.6%,-8.7%,"$18,840,170","$1,037,202,293","$1,143,015,873",0.91,
,43,Frax FRAX,$0.997412,-0.1%,-0.3%,-0.2%,"$5,392,434","$1,002,300,618","$1,002,300,618",1.00,
,44,Rocket Pool ETH RETH,"$2,024.63",-0.2%,0.1%,-3.1%,"$8,203,239","$951,125,060","$951,128,434",1.00,
,45,Stacks STX,$0.661572,0.3%,2.7%,-5.2%,"$22,289,114","$919,938,490","$1,202,351,602",0.77,
,46,MultiversX EGLD,$35.59,-0.2%,0.6%,-1.4%,"$8,076,761","$915,188,826","$1,119,334,142",0.82,
,47,Algorand ALGO,$0.109265,-0.2%,-0.3%,-12.1%,"$43,104,229","$833,178,617","$1,094,076,108",0.76,
,48,Maker MKR,$914.48,-0.4%,-1.0%,-6.6%,"$42,211,957","$826,887,438","$922,543,980",0.90,
,49,EOS EOS,$0.732038,-0.2%,-0.4%,-3.1%,"$76,360,160","$815,679,986",-,-,
,50,The Sandbox SAND,$0.423837,-0.1%,1.6%,-4.3%,"$37,979,487","$792,597,887","$1,271,729,721",0.62,
,51,Optimism OP,$1.23,-0.1%,0.7%,-5.4%,"$45,723,683","$791,228,664","$5,271,996,194",0.15,
,52,WhiteBIT Token WBT,$5.45,0.0%,1.2%,2.0%,"$11,123,121","$786,578,738","$2,183,144,135",0.36,
,53,Tezos XTZ,$0.831837,-0.2%,1.8%,-0.4%,"$14,247,781","$779,192,607",-,-,
,54,Bitcoin SV BSV,$39.64,-0.3%,-2.3%,-9.6%,"$23,478,078","$764,425,840","$833,223,232",0.92,
,55,Fantom FTM,$0.271467,-0.5%,-2.1%,-14.3%,"$70,872,083","$759,821,314","$861,847,676",0.88,
,56,Theta Network THETA,$0.757560,-0.5%,3.3%,-2.6%,"$6,923,245","$756,996,590","$756,996,590",1.00,
,57,Render RNDR,$2.01,0.1%,4.0%,-3.5%,"$26,226,416","$743,377,934","$1,070,214,518",0.69,
,58,USDD USDD,$0.999200,-0.1%,-0.0%,-0.1%,"$14,944,218","$738,264,636",-,-,
,59,ImmutableX IMX,$0.697927,-0.2%,-0.1%,-7.9%,"$334,045,851","$727,854,080","$1,399,200,720",0.52,
,60,Decentraland MANA,$0.392399,-0.3%,1.5%,-1.8%,"$34,546,044","$722,218,061","$861,253,936",0.84,
,61,Rocket Pool RPL,$36.48,0.5%,1.7%,-6.4%,"$4,835,224","$713,464,648","$713,464,648",1.00,
,62,ApeCoin APE,$1.92,-0.4%,-0.1%,-10.7%,"$46,235,955","$707,547,653","$1,919,586,681",0.37,
,63,Curve DAO CRV,$0.795652,-0.8%,-1.8%,-0.7%,"$22,979,762","$692,101,187","$2,632,626,601",0.26,
,64,Axie Infinity AXS,$5.95,-0.4%,2.2%,-4.1%,"$27,917,935","$689,630,243","$1,609,873,581",0.43,
,65,Pax Dollar USDP,$1.00,-0.1%,0.0%,0.0%,"$1,453,972","$662,139,357","$662,139,357",1.00,
,66,BitDAO BIT,$0.455147,0.1%,1.8%,-9.1%,"$10,714,459","$661,972,857","$4,375,594,524",0.15,
,67,Bitget Token BGB,$0.471120,0.0%,1.5%,-4.2%,"$12,688,644","$660,401,244","$943,429,675",0.70,
,68,Synthetix Network SNX,$2.06,0.0%,0.7%,-5.9%,"$18,034,687","$658,446,952","$659,935,665",1.00,
,69,Kava KAVA,$1.04,-0.7%,3.5%,8.7%,"$24,066,738","$652,759,491","$652,775,245",1.00,
,70,NEO NEO,$9.12,-0.4%,1.8%,-2.3%,"$30,121,007","$643,661,609","$912,606,847",0.71,
,71,Injective INJ,$8.00,0.1%,-2.2%,-6.9%,"$29,541,179","$639,254,389","$799,012,501",0.80,
,72,Pepe PEPE,$0.000001514910,-0.4%,0.2%,-12.9%,"$66,990,058","$637,762,989","$637,762,989",1.00,
,73,eCash XEC,$0.000032394631,-0.1%,-4.5%,0.4%,"$9,084,292","$635,686,293","$686,686,953",0.93,
,74,Flow FLOW,$0.593022,-0.7%,-1.9%,-7.1%,"$8,580,472","$615,260,892","$856,548,355",0.72,
,75,GALA GALA,$0.024727328906,-0.5%,0.1%,-2.3%,"$218,285,508","$604,442,373","$1,237,119,279",0.49,
,76,KuCoin KCS,$6.17,-0.8%,-1.0%,-6.5%,"$1,176,668","$598,736,485","$892,555,581",0.67,
,77,Gate GT,$4.27,-0.6%,-0.2%,-2.7%,"$435,310","$594,396,027","$1,282,694,666",0.46,
,78,Gemini Dollar GUSD,$0.999194,-0.2%,-0.2%,0.2%,"$1,237,481","$565,003,241","$565,003,241",1.00,
,79,Radix XRD,$0.055010753937,-1.3%,-2.3%,-10.9%,"$1,948,690","$559,671,158","$1,315,543,859",0.43,
,80,Chiliz CHZ,$0.077798916325,-0.5%,1.5%,-2.2%,"$21,684,194","$543,159,900","$692,134,778",0.78,
,81,Klaytn KLAY,$0.165854,-0.1%,1.0%,-5.8%,"$6,785,937","$521,781,653",-,-,
,82,IOTA MIOTA,$0.181446,-0.3%,1.1%,-4.2%,"$4,809,877","$504,470,173","$504,470,173",1.00,
,83,GMX GMX,$55.59,-0.5%,-0.2%,-3.4%,"$4,985,046","$493,049,485","$737,079,383",0.67,
,84,cETH CETH,$37.83,0.0%,0.2%,-2.9%,$916.91,"$488,134,165","$488,134,165",1.00,
,85,PAX Gold PAXG,"$1,921.94",-0.1%,0.5%,1.3%,"$6,647,026","$486,153,484","$486,153,484",1.00,
,86,Terra Luna Classic LUNC,$0.000083111886,-0.2%,-0.4%,-4.1%,"$19,642,503","$483,914,194","$568,984,803",0.85,
,87,Kaspa KAS,$0.024502487068,-0.2%,-0.9%,3.3%,"$8,881,783","$480,251,219","$703,686,353",0.68,
,88,Tether Gold XAUT,"$1,935.21",-0.1%,0.5%,0.6%,"$6,140,786","$477,398,820","$477,398,820",1.00,
,89,Tokenize Xchange  TKX,$5.83,-0.4%,-0.7%,-2.8%,"$6,123,842","$468,246,386","$585,337,250",0.80,
,90,Frax Share FXS,$6.31,-0.2%,-0.8%,-2.4%,"$10,784,909","$460,423,235","$629,740,399",0.73,
,91,Compound COMP,$66.33,-1.5%,11.9%,3.7%,"$186,508,207","$454,319,544","$662,651,489",0.69,
,92,BitTorrent BTT,$0.000000475872,-0.3%,0.3%,-1.8%,"$12,056,261","$453,671,467","$472,066,956",0.96,
,93,Frax Ether FRXETH,"$1,878.82",-0.2%,-0.0%,-3.1%,"$2,073,890","$446,362,711","$446,390,932",1.00,
,94,Huobi HT,$2.72,-0.1%,0.1%,-0.8%,"$9,205,976","$441,465,341","$554,713,724",0.80,
,95,Sui SUI,$0.661190,0.1%,0.3%,-3.4%,"$31,899,359","$432,775,198","$6,611,829,660",0.07,
,96,XDC Network XDC,$0.031049169665,-0.5%,0.1%,-4.6%,"$2,410,924","$430,797,486","$1,177,350,655",0.37,
,97,Mina Protocol MINA,$0.450628,-0.7%,-9.4%,-11.9%,"$53,731,209","$420,569,700","$474,520,748",0.89,
,98,Casper Network CSPR,$0.036714594621,-0.6%,-1.9%,-6.6%,"$2,932,646","$410,290,003","$435,613,306",0.94,
,99,Conflux CFX,$0.189870,-0.6%,4.5%,-4.7%,"$32,724,412","$399,807,260","$1,007,357,576",0.40,
,100,cUSDC CUSDC,$0.022918405759,0.0%,-0.1%,0.0%,$2.94,"$387,648,563","$401,546,974",0.97,
