Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,29,OKB OKB,$43.32,-0.1%,0.9%,-2.1%,"$3,306,128","$2,603,142,632","$13,015,713,162",0.20,
,30,Toncoin TON,$1.34,0.0%,-2.0%,-3.4%,"$5,585,182","$1,979,180,285","$6,792,542,780",0.29,
,31,Filecoin FIL,$4.30,-0.1%,-0.7%,-6.2%,"$62,724,087","$1,868,149,196","$8,426,384,654",0.22,
,32,Internet Computer ICP,$4.14,-0.6%,1.9%,-5.6%,"$13,484,143","$1,813,695,706","$1,943,920,396",0.93,
,33,Lido DAO LDO,$1.91,-0.3%,-2.3%,-11.5%,"$17,311,416","$1,683,837,498","$1,914,327,642",0.88,
,34,Hedera HBAR,$0.048675695928,0.1%,2.0%,-0.3%,"$15,410,600","$1,571,172,570","$2,433,092,324",0.65,
,35,Cronos CRO,$0.057388202407,-0.4%,2.4%,-0.8%,"$4,114,835","$1,500,780,572","$1,721,372,042",0.87,
,36,Quant QNT,$102.74,0.3%,0.1%,-4.7%,"$14,998,083","$1,494,502,460","$1,501,522,429",1.00,
,37,Aptos APT,$7.06,0.1%,-0.3%,-8.1%,"$48,571,045","$1,485,042,722","$7,367,559,468",0.20,
,38,Arbitrum ARB,$1.13,-0.1%,0.3%,-2.2%,"$91,601,728","$1,437,312,025","$11,273,035,487",0.13,
,39,VeChain VET,$0.019002789852,0.1%,1.9%,-5.0%,"$33,262,189","$1,381,054,180","$1,646,917,995",0.84,
,40,NEAR Protocol NEAR,$1.33,-0.3%,-0.6%,-5.6%,"$31,591,126","$1,240,616,269","$1,332,146,189",0.93,
,41,Aave AAVE,$74.73,-0.2%,6.7%,-6.0%,"$106,573,602","$1,081,284,349","$1,195,422,884",0.90,
,42,The Graph GRT,$0.114312,-0.3%,-0.5%,-8.7%,"$18,737,505","$1,037,202,293","$1,143,015,873",0.91,
,43,Frax FRAX,$0.998313,0.0%,-0.1%,-0.1%,"$5,377,964","$1,002,300,618","$1,002,300,618",1.00,
,44,Rocket Pool ETH RETH,"$2,027.08",-0.1%,0.3%,-3.0%,"$8,215,662","$951,125,060","$951,128,434",1.00,
,45,Stacks STX,$0.661766,0.3%,2.8%,-5.2%,"$22,321,178","$919,938,490","$1,202,351,602",0.77,
,46,MultiversX EGLD,$35.62,-0.0%,0.8%,-1.3%,"$8,068,860","$915,188,826","$1,119,334,142",0.82,
,47,Algorand ALGO,$0.109418,-0.1%,-0.2%,-11.9%,"$42,366,692","$833,178,617","$1,094,076,108",0.76,
,48,Maker MKR,$916.71,-0.1%,-0.8%,-6.4%,"$48,924,252","$826,887,438","$922,543,980",0.90,
,49,EOS EOS,$0.733266,-0.0%,-0.1%,-3.0%,"$76,519,364","$815,679,986",-,-,
,50,The Sandbox SAND,$0.423888,-0.0%,1.7%,-4.3%,"$37,657,262","$792,597,887","$1,271,729,721",0.62,
,51,Optimism OP,$1.23,-0.1%,0.8%,-5.5%,"$45,817,492","$791,228,664","$5,271,996,194",0.15,
,52,WhiteBIT Token WBT,$5.46,0.2%,1.4%,2.1%,"$11,172,066","$786,578,738","$2,183,144,135",0.36,
,53,Tezos XTZ,$0.832174,-0.1%,2.0%,-0.4%,"$13,749,958","$779,192,607",-,-,
,54,Bitcoin SV BSV,$39.68,-0.3%,-2.1%,-9.5%,"$23,556,398","$764,425,840","$833,223,232",0.92,
,55,Fantom FTM,$0.271471,-0.6%,-2.1%,-14.3%,"$71,008,237","$759,821,314","$861,847,676",0.88,
,56,Theta Network THETA,$0.757182,-0.3%,3.4%,-2.7%,"$7,056,756","$756,996,590","$756,996,590",1.00,
,57,Render RNDR,$2.02,0.2%,4.2%,-3.4%,"$25,562,489","$743,377,934","$1,070,214,518",0.69,
,58,USDD USDD,$1.00,0.1%,0.1%,0.0%,"$14,929,238","$738,264,636",-,-,
,59,ImmutableX IMX,$0.698795,-0.1%,-0.1%,-7.8%,"$334,711,103","$727,854,080","$1,399,200,720",0.52,
,60,Decentraland MANA,$0.392610,-0.2%,1.7%,-1.8%,"$34,581,520","$722,218,061","$861,253,936",0.84,
,61,Rocket Pool RPL,$36.50,0.6%,1.9%,-6.3%,"$4,831,136","$713,464,648","$713,464,648",1.00,
,62,ApeCoin APE,$1.92,-0.5%,-0.1%,-10.7%,"$47,129,657","$707,547,653","$1,919,586,681",0.37,
,63,Curve DAO CRV,$0.796649,-0.6%,-1.8%,-0.5%,"$23,032,866","$692,101,187","$2,632,626,601",0.26,
,64,Axie Infinity AXS,$5.96,-0.3%,2.5%,-4.0%,"$27,901,907","$689,630,243","$1,609,873,581",0.43,
,65,Pax Dollar USDP,$1.00,0.0%,0.2%,0.1%,"$1,453,960","$662,139,357","$662,139,357",1.00,
,66,BitDAO BIT,$0.455393,0.3%,1.9%,-9.0%,"$10,717,955","$661,972,857","$4,375,594,524",0.15,
,67,Bitget Token BGB,$0.471979,0.2%,1.7%,-4.0%,"$12,693,150","$660,401,244","$943,429,675",0.70,
,68,Synthetix Network SNX,$2.06,0.1%,0.9%,-5.9%,"$17,993,471","$658,446,952","$659,935,665",1.00,
,69,Kava KAVA,$1.05,-0.4%,3.7%,9.0%,"$24,146,029","$652,759,491","$652,775,245",1.00,
,70,NEO NEO,$9.13,-0.3%,2.0%,-2.3%,"$30,203,049","$643,661,609","$912,606,847",0.71,
,71,Injective INJ,$7.99,-0.1%,-2.0%,-7.0%,"$29,291,435","$639,254,389","$799,012,501",0.80,
,72,Pepe PEPE,$0.000001516044,-0.3%,0.7%,-12.9%,"$67,042,264","$637,762,989","$637,762,989",1.00,
,73,eCash XEC,$0.000032685964,0.5%,-3.6%,1.3%,"$34,019,813","$635,686,293","$686,686,953",0.93,
,74,Flow FLOW,$0.593875,-0.5%,-1.7%,-7.0%,"$8,605,655","$615,260,892","$856,548,355",0.72,
,75,GALA GALA,$0.024748556356,-0.9%,0.2%,-2.2%,"$218,616,603","$604,442,373","$1,237,119,279",0.49,
,76,KuCoin KCS,$6.18,-0.6%,-1.0%,-6.4%,"$1,175,350","$598,736,485","$892,555,581",0.67,
,77,Gate GT,$4.28,-0.5%,-0.0%,-2.6%,"$403,497","$594,396,027","$1,282,694,666",0.46,
,78,Gemini Dollar GUSD,$1.00,0.0%,0.1%,0.4%,"$1,372,811","$565,003,241","$565,003,241",1.00,
,79,Radix XRD,$0.054823333217,-1.6%,-2.1%,-11.2%,"$1,943,571","$559,671,158","$1,315,543,859",0.43,
,80,Chiliz CHZ,$0.077836024581,-0.4%,1.5%,-2.1%,"$19,905,790","$543,159,900","$692,134,778",0.78,
,81,Klaytn KLAY,$0.165906,-0.0%,1.1%,-5.8%,"$4,628,880","$521,781,653",-,-,
,82,IOTA MIOTA,$0.181534,-0.0%,1.3%,-4.1%,"$4,810,929","$504,470,173","$504,470,173",1.00,
,83,GMX GMX,$55.64,-0.3%,-0.1%,-3.4%,"$4,984,791","$493,049,485","$737,079,383",0.67,
,84,cETH CETH,$37.83,0.1%,0.2%,-2.9%,$917.97,"$488,134,165","$488,134,165",1.00,
,85,PAX Gold PAXG,"$1,923.83",-0.0%,0.7%,1.4%,"$6,656,849","$486,153,484","$486,153,484",1.00,
,86,Terra Luna Classic LUNC,$0.000083152727,-0.2%,-0.2%,-4.1%,"$19,694,992","$483,914,194","$568,984,803",0.85,
,87,Kaspa KAS,$0.024522290908,0.0%,-0.8%,3.4%,"$8,923,103","$480,251,219","$703,686,353",0.68,
,88,Tether Gold XAUT,"$1,936.59",0.1%,0.6%,0.7%,"$6,144,883","$477,398,820","$477,398,820",1.00,
,89,Tokenize Xchange TKX,$5.83,0.2%,-0.6%,-2.8%,"$5,266,972","$468,246,386","$585,337,250",0.80,
,90,Frax Share FXS,$6.32,-0.1%,-0.6%,-2.3%,"$10,797,281","$460,423,235","$629,740,399",0.73,
,91,Compound COMP,$66.24,-1.7%,12.0%,3.5%,"$188,120,739","$454,319,544","$662,651,489",0.69,
,92,BitTorrent BTT,$0.000000477262,0.1%,0.5%,-1.5%,"$11,801,325","$453,671,467","$472,066,956",0.96,
,93,Frax Ether FRXETH,"$1,881.57",-0.1%,0.2%,-2.9%,"$2,076,925","$446,362,711","$446,390,932",1.00,
,94,Huobi HT,$2.72,0.1%,0.2%,-0.7%,"$9,237,499","$441,465,341","$554,713,724",0.80,
,95,Sui SUI,$0.661310,0.3%,0.6%,-3.4%,"$31,955,464","$432,775,198","$6,611,829,660",0.07,
,96,XDC Network XDC,$0.031096873548,0.0%,-0.1%,-4.5%,"$1,897,215","$430,797,486","$1,177,350,655",0.37,
,97,Mina Protocol MINA,$0.451136,-0.7%,-9.1%,-11.8%,"$54,050,478","$420,569,700","$474,520,748",0.89,
,98,Casper Network CSPR,$0.036740282138,-0.5%,-1.7%,-6.5%,"$2,931,008","$410,290,003","$435,613,306",0.94,
,99,Conflux CFX,$0.190551,-0.5%,5.0%,-4.4%,"$32,302,222","$399,807,260","$1,007,357,576",0.40,
,100,cUSDC CUSDC,$0.022918405759,0.0%,-0.1%,0.0%,$2.94,"$387,648,563","$401,546,974",0.97,
