Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,35,Cronos CRO,$0.057425635292,0.2%,2.3%,-0.7%,"$4,197,969","$1,500,980,176","$1,721,598,216",0.87,
,36,Quant QNT,$102.31,-0.0%,-0.6%,-5.1%,"$15,087,977","$1,488,885,855","$1,495,879,443",1.00,
,37,Aptos APT,$7.05,0.1%,-0.6%,-8.2%,"$48,587,107","$1,484,078,892","$7,362,778,171",0.20,
,38,Arbitrum ARB,$1.13,-0.2%,-0.0%,-2.4%,"$91,459,161","$1,435,551,939","$11,259,230,891",0.13,
,39,VeChain VET,$0.019016748078,0.2%,1.8%,-5.3%,"$33,267,736","$1,382,097,203","$1,648,161,808",0.84,
,40,NEAR Protocol NEAR,$1.33,-0.1%,-0.5%,-5.8%,"$30,966,794","$1,240,692,324","$1,332,227,855",0.93,
,41,Aave AAVE,$74.86,0.1%,6.7%,-4.8%,"$106,954,457","$1,082,989,127","$1,197,307,616",0.90,
,42,The Graph GRT,$0.114412,-0.2%,-0.7%,-8.3%,"$18,619,683","$1,038,174,526","$1,144,087,291",0.91,
,43,Frax FRAX,$0.998313,0.1%,-0.1%,-0.1%,"$5,396,938","$1,002,275,031","$1,002,275,031",1.00,
,44,Rocket Pool ETH RETH,"$2,024.64",-0.2%,0.1%,-3.1%,"$8,218,712","$949,896,438","$949,896,438",1.00,
,45,Stacks STX,$0.660367,0.3%,2.0%,-5.3%,"$22,271,876","$919,917,064","$1,202,321,007",0.77,
,46,MultiversX EGLD,$35.60,0.0%,0.5%,-1.4%,"$7,902,649","$914,669,894","$1,118,699,455",0.82,
,47,Algorand ALGO,$0.109124,-0.1%,-0.6%,-12.2%,"$43,152,879","$832,887,298","$1,093,693,568",0.76,
,48,Maker MKR,$913.55,-0.3%,-0.9%,-8.5%,"$41,628,679","$825,525,433","$921,024,416",0.90,
,49,EOS EOS,$0.732396,-0.1%,-0.7%,-3.3%,"$75,625,113","$814,366,231",-,-,
,50,The Sandbox SAND,$0.423562,0.1%,1.3%,-4.5%,"$37,578,920","$792,179,712","$1,271,058,756",0.62,
,51,Optimism OP,$1.23,0.1%,0.5%,-5.5%,"$45,278,442","$790,664,200","$5,268,235,137",0.15,
,52,WhiteBIT Token WBT,$5.45,-0.3%,1.4%,1.9%,"$11,066,415","$785,499,512","$2,180,148,750",0.36,
,53,Tezos XTZ,$0.830204,-0.3%,1.5%,-1.0%,"$13,798,881","$779,017,268",-,-,
,54,Bitcoin SV BSV,$39.62,-0.4%,-2.5%,-8.7%,"$26,470,615","$761,462,340","$829,993,020",0.92,
,55,Fantom FTM,$0.271520,-0.3%,-2.4%,-14.5%,"$70,084,671","$759,953,559","$861,997,668",0.88,
,56,Theta Network THETA,$0.761754,0.4%,3.7%,-2.1%,"$8,571,942","$757,366,852","$757,366,852",1.00,
,57,Render RNDR,$2.01,0.3%,3.8%,-4.0%,"$24,874,913","$742,383,246","$1,068,782,502",0.69,
,58,USDD USDD,$0.999812,0.1%,0.1%,0.0%,"$17,500,330","$737,860,992",-,-,
,59,ImmutableX IMX,$0.697906,-0.1%,-0.4%,-8.0%,"$333,977,330","$726,252,951","$1,396,122,768",0.52,
,60,Decentraland MANA,$0.392592,-0.1%,1.4%,-1.9%,"$34,404,053","$721,585,497","$860,499,596",0.84,
,61,Rocket Pool RPL,$36.43,0.4%,1.3%,-6.1%,"$4,790,708","$713,021,762","$713,021,762",1.00,
,62,ApeCoin APE,$1.92,-0.1%,-0.2%,-11.4%,"$48,115,507","$706,973,947","$1,918,030,209",0.37,
,63,Curve DAO CRV,$0.795441,-0.5%,-1.9%,-0.6%,"$22,882,384","$690,816,465","$2,627,739,453",0.26,
,64,Axie Infinity AXS,$5.96,-0.2%,2.2%,-4.0%,"$27,689,244","$688,690,432","$1,607,679,685",0.43,
,65,Pax Dollar USDP,$1.00,0.0%,0.0%,0.1%,"$2,083,440","$662,625,718","$662,625,718",1.00,
,66,BitDAO BIT,$0.455291,0.2%,1.9%,-8.8%,"$10,721,024","$661,358,329","$4,371,532,536",0.15,
,67,Bitget Token BGB,$0.471447,0.1%,1.4%,-4.1%,"$12,664,069","$659,603,363","$942,289,846",0.70,
,68,Synthetix Network SNX,$2.05,0.0%,0.1%,-6.0%,"$18,011,463","$658,552,367","$660,041,318",1.00,
,69,Kava KAVA,$1.04,-0.8%,2.0%,7.7%,"$23,832,820","$648,997,002","$648,977,166",1.00,
,70,NEO NEO,$9.11,-0.4%,1.4%,-2.3%,"$30,163,304","$643,115,227","$911,832,166",0.71,
,71,Injective INJ,$7.98,0.3%,-2.9%,-8.2%,"$29,327,211","$639,693,424","$799,561,257",0.80,
,72,Pepe PEPE,$0.000001514032,-0.1%,-0.3%,-13.3%,"$66,829,606","$637,321,788","$637,321,788",1.00,
,73,eCash XEC,$0.000032211324,-0.7%,-5.1%,0.4%,"$7,160,939","$628,260,264","$678,662,520",0.93,
,74,Flow FLOW,$0.591492,-0.7%,-2.2%,-6.9%,"$8,520,589","$618,361,237","$860,864,565",0.72,
,75,GALA GALA,$0.024727057826,-0.4%,0.2%,-2.5%,"$218,410,184","$604,161,457","$1,236,527,889",0.49,
,76,KuCoin KCS,$6.16,-0.9%,-1.2%,-5.7%,"$1,178,178","$597,308,134","$890,426,293",0.67,
,77,Gate GT,$4.27,-0.6%,-0.3%,-2.2%,"$401,908","$593,524,259","$1,280,813,408",0.46,
,78,Gemini Dollar GUSD,$1.00,0.1%,-0.0%,0.2%,"$1,226,550","$564,562,493","$564,562,493",1.00,
,79,Radix XRD,$0.055188277929,-0.6%,-1.3%,-10.8%,"$1,950,616","$562,989,420","$1,323,341,321",0.43,
,80,Chiliz CHZ,$0.077927850326,-0.1%,1.8%,-2.2%,"$22,853,807","$542,773,226","$691,642,049",0.78,
,81,Klaytn KLAY,$0.166020,-0.0%,1.1%,-5.8%,"$3,995,533","$520,817,263",-,-,
,82,IOTA MIOTA,$0.181504,-0.0%,1.1%,-4.0%,"$4,785,440","$504,696,769","$504,696,769",1.00,
,83,GMX GMX,$55.64,-0.2%,-0.2%,-3.6%,"$5,004,339","$492,817,798","$736,729,414",0.67,
,84,cETH CETH,$37.77,-0.2%,0.0%,-3.1%,$916.79,"$487,398,919","$487,398,919",1.00,
,85,PAX Gold PAXG,"$1,922.42",-0.1%,0.6%,1.2%,"$6,647,375","$485,837,098","$485,837,098",1.00,
,86,Terra Luna Classic LUNC,$0.000083169526,0.1%,-0.7%,-4.0%,"$19,524,212","$483,673,003","$568,701,015",0.85,
,87,Kaspa KAS,$0.024496725870,-0.1%,-1.0%,3.7%,"$8,895,336","$479,919,197","$703,188,890",0.68,
,88,Tether Gold XAUT,"$1,934.94",-0.0%,0.5%,0.6%,"$6,127,214","$477,062,106","$477,062,106",1.00,
,89,Tokenize Xchange TKX,$5.82,-0.5%,-0.7%,-3.3%,"$7,914,098","$465,479,864","$581,878,924",0.80,
,90,Frax Share FXS,$6.32,0.1%,-0.8%,-2.3%,"$10,825,825","$460,155,678","$629,374,450",0.73,
,91,Compound COMP,$66.35,-1.3%,11.9%,4.5%,"$183,299,091","$454,600,627","$663,061,465",0.69,
,92,BitTorrent BTT,$0.000000475378,-0.4%,0.1%,-2.2%,"$11,817,320","$452,900,237","$471,264,454",0.96,
,93,Frax Ether FRXETH,"$1,878.45",-0.1%,-0.1%,-3.1%,"$2,005,158","$445,763,324","$445,763,324",1.00,
,94,Huobi HT,$2.72,0.0%,0.1%,-0.6%,"$9,168,831","$441,295,524","$554,500,344",0.80,
,95,Sui SUI,$0.660439,0.1%,-0.5%,-3.7%,"$31,309,283","$432,536,694","$6,608,185,850",0.07,
,96,XDC Network XDC,$0.031028828441,-0.3%,0.0%,-4.8%,"$2,401,213","$429,952,598","$1,175,041,271",0.37,
,97,Mina Protocol MINA,$0.450409,-0.3%,-10.5%,-12.6%,"$53,408,582","$420,376,596","$474,302,202",0.89,
,98,Casper Network CSPR,$0.036714623025,-0.3%,-1.9%,-6.5%,"$2,936,681","$409,931,124","$435,225,412",0.94,
,99,cUSDC CUSDC,$0.022907167165,-0.0%,-0.1%,0.0%,$2.94,"$401,434,851","$401,434,851",1.00,
,100,Conflux CFX,$0.189283,-0.3%,3.6%,-5.6%,"$33,631,919","$398,224,026","$1,003,368,446",0.40,
