Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,18,Shiba Inu SHIB,$0.000007538678,-0.2%,-0.4%,-2.4%,"$65,387,620","$4,444,031,413","$7,540,631,620",0.59,
,19,Dai DAI,$0.999709,0.0%,-0.1%,-0.0%,"$80,618,958","$4,291,861,599","$4,291,718,005",1.00,
,20,Uniswap UNI,$5.31,-0.8%,1.3%,-3.8%,"$71,892,011","$4,004,922,298","$5,313,212,263",0.75,
,21,Binance USD BUSD,$0.999925,0.0%,0.0%,0.1%,"$1,028,510,155","$3,997,348,204","$3,997,348,204",1.00,
,22,LEO Token LEO,$4.04,0.0%,0.7%,2.4%,"$600,936","$3,756,493,902","$3,980,201,391",0.94,
,23,Chainlink LINK,$6.24,-0.1%,1.0%,-4.9%,"$87,346,412","$3,224,927,892","$6,236,565,586",0.52,
,24,Monero XMR,$163.94,-0.1%,-0.3%,-1.5%,"$59,106,364","$2,975,446,121",-,-,
,25,TrueUSD TUSD,$0.999169,-0.1%,0.0%,-0.1%,"$1,811,768,263","$2,892,161,594","$2,892,161,594",1.00,
,26,Cosmos Hub ATOM,$9.22,-0.1%,-0.5%,-5.9%,"$52,864,228","$2,696,949,385",-,-,
,27,Ethereum Classic ETC,$18.86,-0.2%,-0.1%,-3.8%,"$80,972,556","$2,676,118,644","$3,973,173,494",0.67,
,28,Stellar XLM,$0.096896882209,-0.2%,-3.0%,-6.5%,"$43,587,461","$2,621,216,274","$4,844,702,679",0.54,
,29,OKB OKB,$43.32,-0.1%,0.9%,-2.1%,"$3,308,558","$2,603,142,632","$13,015,713,162",0.20,
,30,Toncoin TON,$1.34,0.0%,-2.1%,-3.4%,"$5,583,668","$1,979,180,285","$6,792,542,780",0.29,
,31,Filecoin FIL,$4.29,-0.2%,-0.8%,-6.3%,"$62,542,322","$1,868,149,196","$8,426,384,654",0.22,
,32,Internet Computer ICP,$4.14,-0.6%,1.9%,-5.6%,"$13,576,932","$1,813,695,706","$1,943,920,396",0.93,
,33,Lido DAO LDO,$1.91,-0.3%,-2.3%,-11.5%,"$17,289,493","$1,683,837,498","$1,914,327,642",0.88,
,34,Hedera HBAR,$0.048669550299,0.1%,2.0%,-0.4%,"$15,406,741","$1,571,172,570","$2,433,092,324",0.65,
,35,Cronos CRO,$0.057617288386,-0.0%,2.8%,-0.4%,"$5,520,617","$1,500,780,572","$1,721,372,042",0.87,
,36,Quant QNT,$102.73,0.3%,0.1%,-4.7%,"$15,084,519","$1,494,502,460","$1,501,522,429",1.00,
,37,Aptos APT,$7.06,0.1%,-0.3%,-8.1%,"$48,569,910","$1,485,042,722","$7,367,559,468",0.20,
,38,Arbitrum ARB,$1.13,-0.2%,0.3%,-2.2%,"$91,607,576","$1,437,312,025","$11,273,035,487",0.13,
,39,VeChain VET,$0.018997749176,0.1%,1.9%,-5.0%,"$33,298,117","$1,381,054,180","$1,646,917,995",0.84,
,40,NEAR Protocol NEAR,$1.33,-0.4%,-0.6%,-5.6%,"$31,605,159","$1,240,616,269","$1,332,146,189",0.93,
,41,Aave AAVE,$74.71,-0.2%,6.7%,-6.0%,"$106,487,743","$1,081,284,349","$1,195,422,884",0.90,
,42,The Graph GRT,$0.114290,-0.4%,-0.5%,-8.7%,"$18,728,856","$1,037,202,293","$1,143,015,873",0.91,
,43,Frax FRAX,$0.998106,-0.0%,-0.1%,-0.1%,"$5,377,191","$1,002,300,618","$1,002,300,618",1.00,
,44,Rocket Pool ETH RETH,"$2,027.08",-0.1%,0.3%,-3.0%,"$8,215,662","$951,125,060","$951,128,434",1.00,
,45,Stacks STX,$0.661469,0.3%,2.7%,-5.3%,"$22,312,019","$919,938,490","$1,202,351,602",0.77,
,46,MultiversX EGLD,$35.62,-0.0%,0.8%,-1.3%,"$8,068,910","$915,188,826","$1,119,334,142",0.82,
,47,Algorand ALGO,$0.109396,-0.2%,-0.2%,-12.0%,"$42,338,012","$833,178,617","$1,094,076,108",0.76,
,48,Maker MKR,$917.14,-0.1%,-0.8%,-6.4%,"$48,925,397","$826,887,438","$922,543,980",0.90,
,49,EOS EOS,$0.733042,-0.1%,0.1%,-3.0%,"$76,800,186","$815,679,986",-,-,
,50,The Sandbox SAND,$0.423829,-0.1%,1.7%,-4.3%,"$37,739,001","$792,597,887","$1,271,729,721",0.62,
,51,Optimism OP,$1.23,-0.1%,0.8%,-5.5%,"$45,797,074","$791,228,664","$5,271,996,194",0.15,
,52,WhiteBIT Token  WBT,$5.46,0.2%,1.4%,2.1%,"$11,172,236","$786,578,738","$2,183,144,135",0.36,
,53,Tezos XTZ,$0.831922,-0.2%,1.9%,-0.4%,"$13,742,945","$779,192,607",-,-,
,54,Bitcoin SV BSV,$39.67,-0.3%,-2.1%,-9.5%,"$23,517,948","$764,425,840","$833,223,232",0.92,
,55,Fantom FTM,$0.271410,-0.6%,-2.3%,-14.3%,"$71,001,851","$759,821,314","$861,847,676",0.88,
,56,Theta Network THETA,$0.756916,-0.4%,3.4%,-2.7%,"$7,004,584","$756,996,590","$756,996,590",1.00,
,57,Render RNDR,$2.02,0.2%,4.2%,-3.4%,"$25,555,480","$743,377,934","$1,070,214,518",0.69,
,58,USDD USDD,$1.00,0.1%,0.1%,-0.0%,"$14,924,963","$738,264,636",-,-,
,59,ImmutableX IMX,$0.699568,0.1%,0.0%,-7.7%,"$336,049,544","$727,854,080","$1,399,200,720",0.52,
,60,Decentraland MANA,$0.392529,-0.2%,1.7%,-1.8%,"$34,569,514","$722,218,061","$861,253,936",0.84,
,61,Rocket Pool RPL,$36.50,0.6%,1.9%,-6.3%,"$4,830,778","$713,464,648","$713,464,648",1.00,
,62,ApeCoin APE,$1.92,-0.5%,-0.1%,-10.7%,"$47,132,683","$707,547,653","$1,919,586,681",0.37,
,63,Curve DAO CRV,$0.796848,-0.5%,-1.8%,-0.5%,"$23,018,265","$692,101,187","$2,632,626,601",0.26,
,64,Axie Infinity AXS,$5.96,-0.3%,2.5%,-4.0%,"$27,912,840","$689,630,243","$1,609,873,581",0.43,
,65,Pax Dollar USDP,$1.00,-0.0%,0.1%,0.1%,"$1,453,684","$662,139,357","$662,139,357",1.00,
,66,BitDAO BIT,$0.455307,0.3%,1.9%,-9.0%,"$10,715,924","$661,972,857","$4,375,594,524",0.15,
,67,Bitget Token BGB,$0.471731,0.1%,1.7%,-4.1%,"$12,683,105","$660,401,244","$943,429,675",0.70,
,68,Synthetix Network SNX,$2.06,0.1%,0.9%,-5.9%,"$17,986,362","$658,446,952","$659,935,665",1.00,
,69,Kava KAVA,$1.05,-0.5%,3.7%,9.0%,"$24,131,141","$652,759,491","$652,775,245",1.00,
,70,NEO NEO,$9.13,-0.3%,2.0%,-2.3%,"$30,213,775","$643,661,609","$912,606,847",0.71,
,71,Injective INJ,$7.99,-0.1%,-2.1%,-7.0%,"$29,552,180","$639,254,389","$799,012,501",0.80,
,72,Pepe PEPE,$0.000001515871,-0.3%,0.6%,-12.9%,"$66,843,851","$637,762,989","$637,762,989",1.00,
,73,eCash XEC,$0.000032692186,0.5%,-3.6%,1.3%,"$34,075,762","$635,686,293","$686,686,953",0.93,
,74,Flow FLOW,$0.593633,-0.5%,-1.7%,-7.0%,"$8,595,487","$615,260,892","$856,548,355",0.72,
,75,GALA GALA,$0.024740602828,-0.9%,0.1%,-2.3%,"$218,620,594","$604,442,373","$1,237,119,279",0.49,
,76,KuCoin KCS,$6.19,-0.5%,-0.9%,-6.3%,"$1,134,063","$598,736,485","$892,555,581",0.67,
,77,Gate GT,$4.28,-0.5%,-0.1%,-2.6%,"$403,423","$594,396,027","$1,282,694,666",0.46,
,78,Gemini Dollar GUSD,$1.00,-0.0%,0.0%,0.3%,"$1,372,551","$565,003,241","$565,003,241",1.00,
,79,Radix XRD,$0.054823459868,-1.6%,-2.1%,-11.2%,"$1,943,575","$559,671,158","$1,315,543,859",0.43,
,80,Chiliz CHZ,$0.077833717469,-0.4%,1.5%,-2.1%,"$21,398,490","$543,159,900","$692,134,778",0.78,
,81,Klaytn KLAY,$0.165872,-0.0%,1.1%,-5.8%,"$4,615,459","$521,781,653",-,-,
,82,IOTA MIOTA,$0.181492,-0.0%,1.3%,-4.2%,"$4,810,894","$504,470,173","$504,470,173",1.00,
,83,GMX GMX,$55.63,-0.3%,-0.1%,-3.4%,"$4,983,931","$493,049,485","$737,079,383",0.67,
,84,cETH CETH,$37.83,0.1%,0.2%,-2.9%,$917.97,"$488,134,165","$488,134,165",1.00,
,85,PAX Gold PAXG,"$1,923.48",-0.0%,0.7%,1.3%,"$6,655,591","$486,153,484","$486,153,484",1.00,
,86,Terra Luna Classic LUNC,$0.000083150814,-0.2%,-0.2%,-4.1%,"$19,690,752","$483,914,194","$568,984,803",0.85,
,87,Kaspa KAS,$0.024513474950,-0.0%,-0.8%,3.3%,"$8,933,110","$480,251,219","$703,686,353",0.68,
,88,Tether Gold XAUT,"$1,936.33",0.1%,0.6%,0.6%,"$6,138,026","$477,398,820","$477,398,820",1.00,
,89,Tokenize Xchange  TKX,$5.85,0.2%,-0.1%,-2.4%,"$6,126,237","$468,246,386","$585,337,250",0.80,
,90,Frax Share FXS,$6.32,-0.1%,-0.6%,-2.3%,"$10,787,754","$460,423,235","$629,740,399",0.73,
,91,Compound COMP,$66.24,-1.7%,12.0%,3.5%,"$188,059,635","$454,319,544","$662,651,489",0.69,
,92,BitTorrent BTT,$0.000000477127,0.0%,0.4%,-1.5%,"$11,794,224","$453,671,467","$472,066,956",0.96,
,93,Frax Ether FRXETH,"$1,881.50",-0.1%,0.2%,-2.9%,"$2,027,432","$446,362,711","$446,390,932",1.00,
,94,Huobi HT,$2.72,0.1%,0.2%,-0.7%,"$9,235,416","$441,465,341","$554,713,724",0.80,
,95,Sui SUI,$0.661153,0.3%,0.5%,-3.4%,"$31,954,816","$432,775,198","$6,611,829,660",0.07,
,96,XDC Network XDC,$0.031099520232,0.0%,-0.3%,-4.5%,"$1,897,068","$430,797,486","$1,177,350,655",0.37,
,97,Mina Protocol MINA,$0.451114,-0.7%,-9.1%,-11.8%,"$54,101,162","$420,569,700","$474,520,748",0.89,
,98,Casper Network CSPR,$0.036733218078,-0.5%,-1.8%,-6.6%,"$2,930,444","$410,290,003","$435,613,306",0.94,
,99,Conflux CFX,$0.190516,-0.5%,5.0%,-4.4%,"$32,294,636","$399,807,260","$1,007,357,576",0.40,
,100,cUSDC CUSDC,$0.022918405759,0.0%,-0.1%,0.0%,$2.94,"$387,648,563","$401,546,974",0.97,
