Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,69,Kava KAVA,$1.04,-0.6%,3.6%,8.9%,"$22,417,911","$652,759,491","$652,775,245",1.00,
,70,NEO NEO,$9.12,-0.4%,1.9%,-2.3%,"$30,175,404","$643,661,609","$912,606,847",0.71,
,71,Injective INJ,$7.98,-0.2%,-2.1%,-7.1%,"$29,263,291","$639,254,389","$799,012,501",0.80,
,72,Pepe PEPE,$0.000001514730,-0.4%,0.6%,-12.9%,"$66,990,532","$637,762,989","$637,762,989",1.00,
,73,eCash XEC,$0.000032331013,-0.6%,-4.7%,0.2%,"$7,161,726","$635,686,293","$686,686,953",0.93,
,74,Flow FLOW,$0.593436,-0.6%,-1.8%,-7.1%,"$8,432,823","$615,260,892","$856,548,355",0.72,
,75,GALA GALA,$0.024726809724,-0.9%,0.1%,-2.3%,"$218,417,021","$604,442,373","$1,237,119,279",0.49,
,76,KuCoin KCS,$6.17,-0.7%,-1.1%,-6.5%,"$1,174,295","$598,736,485","$892,555,581",0.67,
,77,Gate GT,$4.27,-0.7%,-0.3%,-2.8%,"$436,715","$594,396,027","$1,282,694,666",0.46,
,78,Gemini Dollar GUSD,$1.00,0.0%,0.1%,0.4%,"$1,372,811","$565,003,241","$565,003,241",1.00,
,79,Radix XRD,$0.054784353582,-1.6%,-2.2%,-11.3%,"$1,942,189","$559,671,158","$1,315,543,859",0.43,
,80,Chiliz CHZ,$0.077768016417,-0.5%,1.4%,-2.2%,"$19,859,915","$543,159,900","$692,134,778",0.78,
,81,Klaytn KLAY,$0.165757,-0.1%,1.0%,-5.9%,"$4,624,611","$521,781,653",-,-,
,82,IOTA MIOTA,$0.181379,-0.1%,1.2%,-4.2%,"$4,807,174","$504,470,173","$504,470,173",1.00,
,83,GMX GMX,$55.59,-0.4%,-0.2%,-3.4%,"$4,980,216","$493,049,485","$737,079,383",0.67,
,84,cETH CETH,$37.83,0.1%,0.2%,-2.9%,$917.97,"$488,134,165","$488,134,165",1.00,
,85,PAX Gold PAXG,"$1,922.11",-0.1%,0.6%,1.3%,"$6,650,748","$486,153,484","$486,153,484",1.00,
,86,Terra Luna Classic LUNC,$0.000083077500,-0.3%,-0.3%,-4.2%,"$19,676,963","$483,914,194","$568,984,803",0.85,
,87,Kaspa KAS,$0.024522290908,0.0%,-0.8%,3.4%,"$8,923,103","$480,251,219","$703,686,353",0.68,
,88,Tether Gold XAUT,"$1,936.64",0.1%,0.6%,0.7%,"$6,144,830","$477,398,820","$477,398,820",1.00,
,89,Tokenize Xchange TKX,$5.83,0.2%,-0.6%,-2.8%,"$5,266,972","$468,246,386","$585,337,250",0.80,
,90,Frax Share FXS,$6.31,-0.1%,-0.7%,-2.4%,"$10,788,579","$460,423,235","$629,740,399",0.73,
,91,Compound COMP,$66.19,-1.8%,11.9%,3.5%,"$187,961,525","$454,319,544","$662,651,489",0.69,
,92,BitTorrent BTT,$0.000000476837,-0.0%,0.4%,-1.6%,"$11,786,829","$453,671,467","$472,066,956",0.96,
,93,Frax Ether FRXETH,"$1,879.87",-0.1%,0.1%,-3.0%,"$2,075,055","$446,362,711","$446,390,932",1.00,
,94,Huobi HT,$2.72,0.0%,0.1%,-0.8%,"$9,231,898","$441,465,341","$554,713,724",0.80,
,95,Sui SUI,$0.660784,0.2%,0.5%,-3.5%,"$31,918,287","$432,775,198","$6,611,829,660",0.07,
,96,XDC Network XDC,$0.031069234275,-0.1%,-0.2%,-4.6%,"$1,895,529","$430,797,486","$1,177,350,655",0.37,
,97,Mina Protocol MINA,$0.450477,-0.8%,-9.2%,-11.9%,"$53,965,393","$420,569,700","$474,520,748",0.89,
,98,Casper Network CSPR,$0.036701062361,-0.6%,-1.9%,-6.6%,"$2,928,053","$410,290,003","$435,613,306",0.94,
,99,Conflux CFX,$0.189946,-0.8%,4.6%,-4.7%,"$18,863,788","$399,807,260","$1,007,357,576",0.40,
,100,cUSDC CUSDC,$0.022918405759,0.0%,-0.1%,0.0%,$2.94,"$387,648,563","$401,546,974",0.97,
