Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,91,Frax Share FXS,$6.31,0.2%,-0.6%,-3.4%,"$10,549,248","$459,597,244","$628,610,656",0.73,
,92,BitTorrent BTT,$0.000000476765,-0.0%,0.7%,-1.6%,"$11,616,714","$454,150,469","$472,565,380",0.96,
,93,Frax Ether FRXETH,"$1,881.11",-0.1%,0.1%,-3.0%,"$2,174,820","$446,170,641","$446,170,641",1.00,
,94,Huobi HT,$2.72,-0.0%,0.1%,-0.7%,"$8,390,289","$441,005,870","$554,136,386",0.80,
,95,XDC Network XDC,$0.031004575945,-0.2%,-0.8%,-6.1%,"$1,887,663","$432,459,129","$1,181,892,373",0.37,
,96,Sui SUI,$0.658466,0.1%,0.2%,-3.3%,"$32,094,692","$431,785,422","$6,596,708,103",0.07,
,97,Mina Protocol MINA,$0.453495,0.7%,-10.4%,-11.5%,"$58,755,223","$421,724,920","$475,829,678",0.89,
,98,Casper Network CSPR,$0.036857601946,-0.4%,-1.3%,-6.6%,"$2,935,817","$411,194,654","$436,566,908",0.94,
,99,Conflux CFX,$0.189514,1.6%,4.3%,-4.4%,"$26,186,827","$393,397,674","$991,207,931",0.40,
,100,cUSDC CUSDC,$0.022915040560,-0.0%,-0.0%,0.0%,$2.94,"$387,607,213","$387,591,643",1.00,
