Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,27,Ethereum Classic ETC,$18.85,-0.2%,-0.2%,-3.8%,"$80,963,906","$2,676,118,644","$3,973,173,494",0.67,
,28,Stellar XLM,$0.096862983823,-0.2%,-3.0%,-6.5%,"$43,702,628","$2,621,216,274","$4,844,702,679",0.54,
,29,OKB OKB,$43.29,-0.2%,0.8%,-2.2%,"$3,303,160","$2,603,142,632","$13,015,713,162",0.20,
,30,Toncoin TON,$1.34,-0.1%,-2.1%,-3.5%,"$5,575,091","$1,979,180,285","$6,792,542,780",0.29,
,31,Filecoin FIL,$4.29,-0.2%,-0.8%,-6.3%,"$62,502,957","$1,868,149,196","$8,426,384,654",0.22,
,32,Internet Computer ICP,$4.14,-0.7%,1.8%,-5.6%,"$13,687,086","$1,813,695,706","$1,943,920,396",0.93,
,33,Lido DAO LDO,$1.91,-0.4%,-2.4%,-11.6%,"$17,288,468","$1,683,837,498","$1,914,327,642",0.88,
,34,Hedera HBAR,$0.048607036951,-0.1%,1.8%,-0.5%,"$15,418,688","$1,571,172,570","$2,433,092,324",0.65,
,35,Cronos CRO,$0.057335429101,-0.5%,2.3%,-0.9%,"$4,111,156","$1,500,780,572","$1,721,372,042",0.87,
,36,Quant QNT,$102.64,0.2%,-0.0%,-4.7%,"$15,080,358","$1,494,502,460","$1,501,522,429",1.00,
,37,Aptos APT,$7.05,0.0%,-0.4%,-8.2%,"$48,592,687","$1,485,042,722","$7,367,559,468",0.20,
,38,Arbitrum ARB,$1.13,-0.3%,0.2%,-2.3%,"$91,906,727","$1,437,312,025","$11,273,035,487",0.13,
,39,VeChain VET,$0.018990698056,0.0%,1.8%,-5.0%,"$33,213,314","$1,381,054,180","$1,646,917,995",0.84,
,40,NEAR Protocol NEAR,$1.33,-0.4%,-0.6%,-5.6%,"$31,470,524","$1,240,616,269","$1,332,146,189",0.93,
,41,Aave AAVE,$74.72,-0.2%,6.7%,-6.0%,"$106,705,803","$1,081,284,349","$1,195,422,884",0.90,
,42,The Graph GRT,$0.114317,-0.3%,-0.5%,-8.7%,"$20,269,323","$1,037,202,293","$1,143,015,873",0.91,
,43,Frax FRAX,$0.997515,-0.1%,-0.2%,-0.2%,"$5,391,406","$1,002,300,618","$1,002,300,618",1.00,
,44,Rocket Pool ETH RETH,"$2,025.61",-0.2%,0.2%,-3.1%,"$8,228,341","$951,125,060","$951,128,434",1.00,
,45,Stacks STX,$0.661947,0.4%,2.8%,-5.2%,"$22,304,002","$919,938,490","$1,202,351,602",0.77,
,46,MultiversX EGLD,$35.60,-0.1%,0.8%,-1.4%,"$8,067,637","$915,188,826","$1,119,334,142",0.82,
,47,Algorand ALGO,$0.109338,-0.2%,-0.2%,-12.0%,"$42,374,964","$833,178,617","$1,094,076,108",0.76,
,48,Maker MKR,$915.73,-0.2%,-0.9%,-6.5%,"$48,913,465","$826,887,438","$922,543,980",0.90,
,49,EOS EOS,$0.732603,-0.1%,-0.2%,-3.1%,"$76,316,518","$815,679,986",-,-,
,50,The Sandbox SAND,$0.423602,-0.1%,1.6%,-4.4%,"$37,638,246","$792,597,887","$1,271,729,721",0.62,
,51,Optimism OP,$1.23,-0.2%,0.7%,-5.5%,"$45,677,090","$791,228,664","$5,271,996,194",0.15,
,52,WhiteBIT Token WBT,$5.45,0.1%,1.3%,2.0%,"$11,136,280","$786,578,738","$2,183,144,135",0.36,
,53,Tezos XTZ,$0.831363,-0.2%,1.9%,-0.5%,"$14,254,255","$779,192,607",-,-,
,54,Bitcoin SV BSV,$39.65,-0.4%,-2.2%,-9.6%,"$23,547,598","$764,425,840","$833,223,232",0.92,
,55,Fantom FTM,$0.271309,-0.6%,-2.2%,-14.3%,"$70,926,404","$759,821,314","$861,847,676",0.88,
,56,Theta Network THETA,$0.756532,-0.4%,3.4%,-2.8%,"$7,049,992","$756,996,590","$756,996,590",1.00,
,57,Render RNDR,$2.01,0.1%,4.1%,-3.5%,"$25,541,828","$743,377,934","$1,070,214,518",0.69,
,58,USDD USDD,$0.999366,0.0%,-0.0%,-0.1%,"$14,918,039","$738,264,636",-,-,
,59,ImmutableX IMX,$0.698176,-0.1%,-0.2%,-7.8%,"$334,408,954","$727,854,080","$1,399,200,720",0.52,
,60,Decentraland MANA,$0.392339,-0.3%,1.6%,-1.8%,"$34,547,012","$722,218,061","$861,253,936",0.84,
,61,Rocket Pool RPL,$36.47,0.5%,1.8%,-6.4%,"$4,826,272","$713,464,648","$713,464,648",1.00,
,62,ApeCoin APE,$1.92,-0.6%,-0.1%,-10.8%,"$47,116,945","$707,547,653","$1,919,586,681",0.37,
,63,Curve DAO CRV,$0.795918,-0.6%,-1.9%,-0.6%,"$23,006,885","$692,101,187","$2,632,626,601",0.26,
,64,Axie Infinity AXS,$5.95,-0.4%,2.4%,-4.1%,"$27,917,468","$689,630,243","$1,609,873,581",0.43,
,65,Pax Dollar USDP,$1.00,-0.1%,0.1%,0.1%,"$1,453,541","$662,139,357","$662,139,357",1.00,
,66,BitDAO BIT,$0.454894,0.2%,1.8%,-9.1%,"$10,709,188","$661,972,857","$4,375,594,524",0.15,
,67,Bitget Token BGB,$0.471551,0.1%,1.6%,-4.1%,"$12,677,384","$660,401,244","$943,429,675",0.70,
,68,Synthetix Network SNX,$2.06,0.1%,0.8%,-5.9%,"$17,994,323","$658,446,952","$659,935,665",1.00,
,69,Kava KAVA,$1.04,-0.6%,3.5%,8.8%,"$24,093,399","$652,759,491","$652,775,245",1.00,
,70,NEO NEO,$9.12,-0.4%,1.9%,-2.3%,"$30,145,347","$643,661,609","$912,606,847",0.71,
,71,Injective INJ,$7.98,-0.1%,-2.1%,-7.1%,"$29,265,354","$639,254,389","$799,012,501",0.80,
,72,Pepe PEPE,$0.000001515058,-0.4%,0.6%,-12.9%,"$67,032,360","$637,762,989","$637,762,989",1.00,
,73,eCash XEC,$0.000032419923,-0.4%,-4.4%,0.4%,"$9,374,242","$635,686,293","$686,686,953",0.93,
,74,Flow FLOW,$0.593405,-0.6%,-1.8%,-7.1%,"$8,419,161","$615,260,892","$856,548,355",0.72,
,75,GALA GALA,$0.024728037212,-0.9%,0.1%,-2.3%,"$218,406,628","$604,442,373","$1,237,119,279",0.49,
,76,KuCoin KCS,$6.17,-0.7%,-1.1%,-6.5%,"$1,174,306","$598,736,485","$892,555,581",0.67,
,77,Gate GT,$4.27,-0.7%,-0.3%,-2.8%,"$436,715","$594,396,027","$1,282,694,666",0.46,
,78,Gemini Dollar GUSD,$1.00,-0.1%,-0.0%,0.3%,"$1,371,626","$565,003,241","$565,003,241",1.00,
,79,Radix XRD,$0.054897645315,-1.4%,-2.0%,-11.1%,"$1,943,938","$559,671,158","$1,315,543,859",0.43,
,80,Chiliz CHZ,$0.077795458746,-0.5%,1.4%,-2.2%,"$21,155,704","$543,159,900","$692,134,778",0.78,
,81,Klaytn KLAY,$0.165804,-0.1%,1.0%,-5.9%,"$4,055,651","$521,781,653",-,-,
,82,IOTA MIOTA,$0.181386,-0.1%,1.2%,-4.2%,"$4,807,273","$504,470,173","$504,470,173",1.00,
,83,GMX GMX,$55.60,-0.3%,-0.2%,-3.4%,"$4,985,237","$493,049,485","$737,079,383",0.67,
,84,cETH CETH,$37.83,0.1%,0.2%,-2.9%,$917.97,"$488,134,165","$488,134,165",1.00,
,85,PAX Gold PAXG,"$1,922.24",-0.1%,0.6%,1.3%,"$6,653,071","$486,153,484","$486,153,484",1.00,
,86,Terra Luna Classic LUNC,$0.000083074299,-0.3%,-0.3%,-4.2%,"$19,676,535","$483,914,194","$568,984,803",0.85,
,87,Kaspa KAS,$0.024507564110,-0.0%,-0.9%,3.3%,"$8,872,489","$480,251,219","$703,686,353",0.68,
,88,Tether Gold XAUT,"$1,935.36",0.0%,0.5%,0.6%,"$6,143,691","$477,398,820","$477,398,820",1.00,
,89,Tokenize Xchange TKX,$5.83,0.2%,-0.6%,-2.8%,"$5,266,972","$468,246,386","$585,337,250",0.80,
,90,Frax Share FXS,$6.31,-0.1%,-0.6%,-2.4%,"$10,785,618","$460,423,235","$629,740,399",0.73,
,91,Compound COMP,$66.22,-1.7%,12.0%,3.5%,"$188,075,540","$454,319,544","$662,651,489",0.69,
,92,BitTorrent BTT,$0.000000476823,-0.0%,0.4%,-1.6%,"$11,536,887","$453,671,467","$472,066,956",0.96,
,93,Frax Ether FRXETH,"$1,879.89",-0.1%,0.0%,-3.0%,"$2,075,075","$446,362,711","$446,390,932",1.00,
,94,Huobi HT,$2.72,0.0%,0.1%,-0.7%,"$9,229,008","$441,465,341","$554,713,724",0.80,
,95,Sui SUI,$0.660799,0.2%,0.5%,-3.5%,"$31,917,555","$432,775,198","$6,611,829,660",0.07,
,96,XDC Network XDC,$0.031071382611,-0.1%,-0.2%,-4.6%,"$1,895,503","$430,797,486","$1,177,350,655",0.37,
,97,Mina Protocol MINA,$0.450474,-0.8%,-9.2%,-11.9%,"$53,963,619","$420,569,700","$474,520,748",0.89,
,98,Casper Network CSPR,$0.036707771915,-0.6%,-1.8%,-6.6%,"$2,928,551","$410,290,003","$435,613,306",0.94,
,99,Conflux CFX,$0.189972,-0.8%,4.7%,-4.7%,"$18,870,485","$399,807,260","$1,007,357,576",0.40,
,100,cUSDC CUSDC,$0.022918405759,0.0%,-0.1%,0.0%,$2.94,"$387,648,563","$401,546,974",0.97,
