Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,52,WhiteBIT Token WBT,$5.46,0.2%,1.4%,2.1%,"$11,172,236","$786,578,738","$2,183,144,135",0.36,
,53,Tezos XTZ,$0.831761,-0.3%,1.9%,-0.4%,"$14,206,535","$779,192,607",-,-,
,54,Bitcoin SV BSV,$39.67,-0.3%,-2.6%,-9.6%,"$23,533,097","$764,425,840","$833,223,232",0.92,
,55,Fantom FTM,$0.271416,-0.7%,-2.3%,-14.3%,"$71,016,934","$759,821,314","$861,847,676",0.88,
,56,Theta Network THETA,$0.756997,-0.5%,3.4%,-2.7%,"$7,017,639","$756,996,590","$756,996,590",1.00,
,57,Render RNDR,$2.02,0.2%,4.3%,-3.4%,"$25,554,744","$743,377,934","$1,070,214,518",0.69,
,58,USDD USDD,$0.999962,0.1%,0.1%,-0.0%,"$14,936,531","$738,264,636",-,-,
,59,ImmutableX IMX,$0.699537,0.1%,0.0%,-7.7%,"$336,036,909","$727,854,080","$1,399,200,720",0.52,
,60,Decentraland MANA,$0.392646,-0.2%,1.7%,-1.7%,"$34,572,017","$722,218,061","$861,253,936",0.84,
,61,Rocket Pool RPL,$36.50,0.6%,1.9%,-6.3%,"$4,831,110","$713,464,648","$713,464,648",1.00,
,62,ApeCoin APE,$1.92,-0.5%,-0.0%,-10.7%,"$47,131,902","$707,547,653","$1,919,586,681",0.37,
,63,Curve DAO CRV,$0.796906,-0.5%,-1.8%,-0.5%,"$23,016,870","$692,101,187","$2,632,626,601",0.26,
,64,Axie Infinity AXS,$5.96,-0.3%,2.5%,-4.0%,"$27,932,145","$689,630,243","$1,609,873,581",0.43,
,65,Pax Dollar USDP,$1.00,-0.0%,0.1%,0.1%,"$1,453,684","$662,139,357","$662,139,357",1.00,
,66,BitDAO BIT,$0.455307,0.3%,1.9%,-9.0%,"$10,715,909","$661,972,857","$4,375,594,524",0.15,
,67,Bitget Token BGB,$0.471731,0.1%,1.7%,-4.1%,"$12,683,105","$660,401,244","$943,429,675",0.70,
,68,Synthetix Network SNX,$2.06,0.1%,0.9%,-5.9%,"$17,982,693","$658,446,952","$659,935,665",1.00,
,69,Kava KAVA,$1.05,-0.4%,3.7%,9.0%,"$24,238,098","$652,759,491","$652,775,245",1.00,
,70,NEO NEO,$9.13,-0.4%,2.0%,-2.3%,"$30,218,254","$643,661,609","$912,606,847",0.71,
,71,Injective INJ,$7.99,-0.1%,-2.1%,-7.0%,"$29,264,825","$639,254,389","$799,012,501",0.80,
,72,Pepe PEPE,$0.000001515849,-0.3%,0.6%,-12.9%,"$66,850,142","$637,762,989","$637,762,989",1.00,
,73,eCash XEC,$0.000032692980,0.5%,-3.9%,1.3%,"$34,081,613","$635,686,293","$686,686,953",0.93,
,74,Flow FLOW,$0.593632,-0.5%,-1.7%,-7.0%,"$8,599,959","$615,260,892","$856,548,355",0.72,
,75,GALA GALA,$0.024740397092,-0.9%,0.1%,-2.3%,"$218,621,161","$604,442,373","$1,237,119,279",0.49,
,76,KuCoin KCS,$6.19,-0.5%,-0.9%,-6.3%,"$1,134,063","$598,736,485","$892,555,581",0.67,
,77,Gate GT,$4.28,-0.5%,-0.1%,-2.6%,"$434,693","$594,396,027","$1,282,694,666",0.46,
,78,Gemini Dollar GUSD,$1.00,-0.0%,0.0%,0.3%,"$1,372,551","$565,003,241","$565,003,241",1.00,
,79,Radix XRD,$0.054814327463,-1.6%,-2.1%,-11.2%,"$1,943,137","$559,671,158","$1,315,543,859",0.43,
,80,Chiliz CHZ,$0.077850482394,-0.4%,1.5%,-2.1%,"$21,861,335","$543,159,900","$692,134,778",0.78,
,81,Klaytn KLAY,$0.165888,-0.0%,1.1%,-5.8%,"$4,616,414","$521,781,653",-,-,
,82,IOTA  MIOTA,$0.181522,-0.1%,1.2%,-4.1%,"$4,817,531","$504,470,173","$504,470,173",1.00,
,83,GMX GMX,$55.62,-0.3%,-0.1%,-3.4%,"$4,976,726","$493,049,485","$737,079,383",0.67,
,84,cETH CETH,$37.83,0.1%,0.2%,-2.9%,$917.97,"$488,134,165","$488,134,165",1.00,
,85,PAX Gold PAXG,"$1,923.46",-0.1%,0.7%,1.3%,"$6,656,139","$486,153,484","$486,153,484",1.00,
,86,Terra Luna Classic LUNC,$0.000083151195,-0.2%,-0.2%,-4.1%,"$19,689,995","$483,914,194","$568,984,803",0.85,
,87,Kaspa KAS,$0.024512898000,-0.0%,-0.8%,3.3%,"$8,932,346","$480,251,219","$703,686,353",0.68,
,88,Tether Gold XAUT,"$1,936.52",0.1%,0.6%,0.7%,"$6,138,651","$477,398,820","$477,398,820",1.00,
,89,Tokenize Xchange TKX,$5.85,0.2%,-0.1%,-2.4%,"$6,126,237","$468,246,386","$585,337,250",0.80,
,90,Frax Share FXS,$6.32,-0.1%,-0.6%,-2.3%,"$10,794,491","$460,423,235","$629,740,399",0.73,
,91,Compound COMP,$66.25,-1.7%,12.0%,3.6%,"$188,050,102","$454,319,544","$662,651,489",0.69,
,92,BitTorrent BTT,$0.000000476746,-0.2%,0.5%,-1.6%,"$11,430,087","$453,671,467","$472,066,956",0.96,
,93,Frax Ether FRXETH,"$1,881.50",-0.1%,0.2%,-2.9%,"$2,027,432","$446,362,711","$446,390,932",1.00,
,94,Huobi HT,$2.72,0.1%,0.2%,-0.7%,"$9,234,917","$441,465,341","$554,713,724",0.80,
,95,Sui SUI,$0.661127,0.3%,0.5%,-3.4%,"$31,959,101","$432,775,198","$6,611,829,660",0.07,
,96,XDC Network XDC,$0.031106380301,-0.1%,-0.3%,-4.5%,"$1,896,408","$430,797,486","$1,177,350,655",0.37,
,97,Mina Protocol MINA,$0.451127,-0.7%,-9.1%,-11.8%,"$54,113,302","$420,569,700","$474,520,748",0.89,
,98,Casper Network CSPR,$0.036733490772,-0.5%,-1.8%,-6.6%,"$2,930,454","$410,290,003","$435,613,306",0.94,
,99,Conflux CFX,$0.190523,0.4%,5.0%,-4.4%,"$32,276,824","$399,807,260","$1,007,357,576",0.40,
,100,cUSDC CUSDC,$0.022918405759,0.0%,-0.1%,0.0%,$2.94,"$387,648,563","$401,546,974",0.97,
